County,State,County FIPS,Popular vote closeness score method,Party-affiliation proxy distance method,"Est. distance to international airport, mi method",Outdoor recreation score method,Est. trees / acre method,AMC density index method,Est. college students / 1k residents method,Est. single-family $/sq ft method,Est. climate resilience score method,Est. tradespeople / 1k residents method,Est. natural disasters / decade method,Est. D1+ drought days/year method,Est. grocery stores / 10k residents method,Est. walkability score method,Est. public transportation score method,Est. 90F+ days/year method,Est. days below 50F / year method,"Est. annual snowfall, ft method",Est. bad AQI days / year method,Est. homeless people / 10k residents method,Noise pollution index method,Runoff rank,Avg Rank,Runoff wins,Prior spotchecked runoff rank,Runoff rank change vs spotchecked
Montour,PA,42093,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA AQI missing for candidate; same-state median fallback,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",347,221.1904761904762,0,229,118
Washington,PA,42125,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",348,216.26190476190476,0,122,226
Plymouth,MA,25023,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",349,202.1904761904762,0,95,254
Butler,PA,42019,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA AQI missing for candidate; same-state median fallback,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",354,226.21428571428572,0,313,41
St. Johns,FL,12109,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA AQI missing for candidate; same-state median fallback,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",361,203.78571428571428,0,343,18
Fredericksburg city,VA,51630,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA AQI missing for candidate; same-state median fallback,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",374,212.28571428571428,0,344,30
Salem city,VA,51775,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",384,198.66666666666666,0,256,128
Hanover,VA,51085,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",385,224.88095238095238,0,284,101
Colonial Heights city,VA,51570,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA AQI missing for candidate; same-state median fallback,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",386,228.21428571428572,0,170,216
Cerro Gordo,IA,19033,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,No EPA SLD/GTFS coverage; lower guardrail fallback from peer estimate,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",387,228.23809523809524,0,213,174
Hunterdon,NJ,34019,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,retained peer/reasoned estimate; no direct dataset in current bundle,"restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override","restored source/proxy-backed value from original candidate-add pass, not manual spot-check override",U.S. Drought Monitor candidate-screen direct value,CBP 2023 grocery stores per 10k adjusted by USDA access multiplier,EPA National Walkability Index population-weighted county rollup,"EPA SLD Trans45 measured county composite, shifted into measured tier",retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate climate estimate; not manually changed in this fix pass,retained prior candidate snowfall estimate; not manually changed in this fix pass,EPA annual AQI candidate-screen direct value,"data-backed proxy from Zillow housing + USDA poverty/SNAP/food insecurity + walkability/transit, quantile-mapped to workbook scale","data-backed proxy from EPA walkability/transit + CBP employment intensity, quantile-mapped to workbook scale",388,213.88095238095238,0,115,273
